"term","inter_phon","norm_phon","radio","torch","tv","gen","piki","vehicle","table","pit_lat","tank","mpesa","skip_meal","total_tlu","crop_acre","brick_cement_wall","any_elec"
"inter_phon","","","","","","","","","","","","","","","","",""
"norm_phon","-.07","","","","","","","","","","","","","","","",""
"radio"," .23"," .25","","","","","","","","","","","","","","",""
"torch"," .11"," .16"," .30","","","","","","","","","","","","","",""
"tv"," .36"," .01"," .06","-.09","","","","","","","","","","","","",""
"gen"," .05"," .10"," .09"," .13"," .08","","","","","","","","","","","",""
"piki"," .33"," .10"," .26"," .13"," .19"," .35","","","","","","","","","","",""
"vehicle"," .14"," .01"," .05"," .16"," .16"," .11"," .11","","","","","","","","","",""
"table"," .20"," .08"," .25"," .02"," .35","-.04"," .13"," .07","","","","","","","","",""
"pit_lat"," .09"," .09"," .11"," .04"," .11","-.09","-.01"," .05"," .34","","","","","","","",""
"tank"," .28","-.03"," .21"," .05"," .32"," .06"," .13"," .11"," .33"," .07","","","","","","",""
"mpesa"," .32"," .15"," .18"," .36"," .22"," .05"," .14"," .06"," .19"," .28"," .05","","","","","",""
"skip_meal"," .13","-.16","-.01","-.00"," .14"," .04","-.09"," .09"," .03","-.03"," .17","-.06","","","","",""
"total_tlu"," .12"," .23"," .20"," .10"," .19"," .04"," .21"," .11"," .13"," .07"," .23"," .09","-.13","","","",""
"crop_acre"," .07"," .22"," .14"," .22"," .05"," .18"," .26","-.00"," .04","-.02"," .16"," .12","-.17"," .53","","",""
"brick_cement_wall"," .17","-.20"," .15"," .12"," .22","-.06","-.11"," .06"," .13"," .09"," .26"," .03"," .23","-.01","-.11","",""
"any_elec"," .28"," .09"," .09"," .08"," .49"," .10"," .07"," .06"," .37"," .10"," .28"," .25"," .15"," .13"," .06"," .20",""
